NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MN1	37	1.7603733539581299	0.0373501	Yes	
row_1	COL11A1	190	1.37579345703125	0.041624885	Yes	
row_2	NPIPA1	212	1.3488129377365112	0.07173064	Yes	
row_3	MYO1D	279	1.2866179943084717	0.09114286	Yes	
row_4	SORBS1	380	1.1939043998718262	0.101310916	Yes	
row_5	CEMIP	411	1.1690384149551392	0.12501562	Yes	
row_6	SERPING1	523	1.0934618711471558	0.13039848	Yes	
row_7	SIK2	525	1.0916013717651367	0.15800117	Yes	
row_8	PDLIM3	539	1.0819591283798218	0.1829291	Yes	
row_9	VASH1	677	1.0223455429077148	0.18123735	Yes	
row_10	TENM4	704	1.0106524229049683	0.20171739	Yes	
row_11	TLE3	709	1.006221055984497	0.22653799	Yes	
row_12	PPL	729	1.0004149675369263	0.24817427	Yes	
row_13	IL1R1	1018	0.89010089635849	0.2125472	Yes	
row_14	OSMR	1164	0.844947338104248	0.20471734	Yes	
row_15	MYH1	1175	0.8426054120063782	0.22415578	Yes	
row_16	SLC4A2	1227	0.8262415528297424	0.2348778	Yes	
row_17	SBNO2	1243	0.8232977390289307	0.2528123	Yes	
row_18	COL16A1	1264	0.8185407519340515	0.26961344	Yes	
row_19	PCSK7	1333	0.8012385964393616	0.2762573	Yes	
row_20	LTBP3	1348	0.797950029373169	0.29374856	Yes	
row_21	ATF5	1410	0.7802058458328247	0.30127367	Yes	
row_22	IL4R	1415	0.7794376611709595	0.3203177	Yes	
row_23	POLE	1418	0.7788827419281006	0.3397524	Yes	
row_24	JUP	1464	0.7677276730537415	0.35019857	Yes	
row_25	DES	1484	0.7639128565788269	0.3658107	Yes	
row_26	TAF1C	1568	0.7451713681221008	0.36798996	Yes	
row_27	COL7A1	1604	0.7324453592300415	0.3795617	Yes	
row_28	COBLL1	1787	0.6926745176315308	0.36036327	Yes	
row_29	STXBP2	1816	0.6866327524185181	0.37218508	Yes	
row_30	SLIT3	1929	0.6558144092559814	0.36621782	Yes	
row_31	FBLN2	1965	0.6488458514213562	0.37566012	Yes	
row_32	VAV2	2108	0.6136177182197571	0.36254516	Yes	
row_33	LAMA2	2114	0.6129891872406006	0.377147	Yes	
row_34	PLXNB1	2146	0.6011552810668945	0.38618422	Yes	
row_35	SPINT2	2162	0.5969507694244385	0.39835322	Yes	
row_36	CSGALNACT1	2831	0.39853060245513916	0.27328187	No	
row_37	DGKD	2839	0.3947756290435791	0.28192055	No	
row_38	COL15A1	2841	0.39440402388572693	0.29176432	No	
row_39	ACACA	2976	0.34604349732398987	0.27345318	No	
row_40	SLC39A8	3020	0.32692012190818787	0.273076	No	
row_41	PDE4DIP	3058	0.3137761950492859	0.27357858	No	
row_42	KCNAB2	3157	0.27527546882629395	0.2607523	No	
row_43	LAMA1	3168	0.27332770824432373	0.26569018	No	
row_44	SVEP1	3207	0.25994834303855896	0.26461923	No	
row_45	CLMN	3248	0.2413480281829834	0.26266965	No	
row_46	SLC12A8	3465	0.15220478177070618	0.22282189	No	
row_47	ADARB1	3508	0.13292405009269714	0.21770568	No	
row_48	C1RL	3556	0.11070065945386887	0.21101126	No	
row_49	ERO1A	3587	0.0937500149011612	0.20732638	No	
row_50	GMEB1	3643	0.06903234869241714	0.19795115	No	
row_51	ITPR1	3731	0.032484423369169235	0.18116726	No	
row_52	TPD52	4023	-0.13084973394870758	0.12559336	No	
row_53	ITIH5	4139	-0.19984741508960724	0.1074045	No	
row_54	TMEM176A	4190	-0.23159754276275635	0.10318226	No	
row_55	KRT8	4343	-0.34755200147628784	0.08126582	No	
row_56	IL1RAP	4415	-0.39881351590156555	0.07705188	No	
row_57	CRELD1	4443	-0.42391517758369446	0.0823842	No	
row_58	IQCG	4523	-0.49437445402145386	0.07898493	No	
row_59	PNMA2	4724	-0.6740341186523438	0.055668	No	
