NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMGB1	77	1.6145058870315552	0.06310904	Yes	
row_1	RPL27A	109	1.5009210109710693	0.12992899	Yes	
row_2	FHDC1	153	1.431692361831665	0.19096963	Yes	
row_3	ACTN4	240	1.3192330598831177	0.23790088	Yes	
row_4	MYADM	288	1.2826473712921143	0.2908845	Yes	
row_5	MYL9	316	1.257496953010559	0.34666097	Yes	
row_6	CALR	372	1.2035154104232788	0.39418668	Yes	
row_7	CNOT3	714	1.0048011541366577	0.37460023	Yes	
row_8	TAGLN	796	0.9749266505241394	0.40577915	Yes	
row_9	EEF2	812	0.9692217707633972	0.44993612	Yes	
row_10	TCF3	857	0.9514555335044861	0.487404	Yes	
row_11	ZNF703	918	0.9229100346565247	0.5202691	Yes	
row_12	B4GALT1	1035	0.8851603269577026	0.5400498	Yes	
row_13	TMEM63B	1085	0.8688771724700928	0.57249457	Yes	
row_14	CTSD	1310	0.8066838383674622	0.5667649	No	
row_15	WIPI1	1641	0.7236747741699219	0.535706	No	
row_16	STXBP2	1816	0.6866327524185181	0.53417593	No	
row_17	SIRPA	2210	0.5859785079956055	0.48376253	No	
row_18	SCAMP4	2272	0.5682368874549866	0.49916577	No	
row_19	DTX2	2507	0.5027328133583069	0.47663513	No	
row_20	CD151	2563	0.4862823486328125	0.4892549	No	
