NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHC1	21	1.8458049297332764	0.12804465	Yes	
row_1	PPIA	44	1.7126885652542114	0.24635024	Yes	
row_2	IRS1	54	1.6638267040252686	0.36376405	Yes	
row_3	CBL	338	1.239708662033081	0.39579	Yes	
row_4	STAT5B	847	0.9553688168525696	0.36227918	Yes	
row_5	CRKL	965	0.9082414507865906	0.40387404	Yes	
row_6	STAT5A	1226	0.8263435959815979	0.41089723	Yes	
row_7	JAK1	1575	0.7427451610565186	0.39426664	Yes	
row_8	GRB2	1597	0.7369589805603027	0.4428577	Yes	
row_9	PIK3R1	1693	0.7128299474716187	0.4748664	Yes	
row_10	AKT1	2059	0.6244261264801025	0.44634545	Yes	
row_11	JAK3	2076	0.6207994818687439	0.48761684	Yes	
row_12	SOS1	2422	0.5276275277137756	0.4561743	No	
row_13	CFLAR	2942	0.3581874668598175	0.37766495	No	
row_14	PIK3CA	3241	0.24332614243030548	0.33528498	No	
row_15	RAF1	3677	0.054351355880498886	0.25186515	No	
row_16	FAS	3732	0.03244589641690254	0.24335103	No	
row_17	RPS6KB1	4061	-0.15021781623363495	0.18827777	No	
