NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHC1	21	1.8458049297332764	0.10445832	Yes	
row_1	ACTN1	164	1.4125546216964722	0.15910088	Yes	
row_2	RHOA	170	1.4005197286605835	0.24055593	Yes	
row_3	CAPNS1	184	1.3891490697860718	0.31973445	Yes	
row_4	PPP1R12B	848	0.9544730186462402	0.24274567	Yes	
row_5	RAPGEF1	858	0.9507468938827515	0.29691556	Yes	
row_6	CRKL	965	0.9082414507865906	0.32909712	Yes	
row_7	CAPN1	1048	0.8805344700813293	0.36446854	Yes	
row_8	BCAR1	1051	0.8801071643829346	0.4158855	Yes	
row_9	ZYX	1277	0.8155640363693237	0.41870522	Yes	
row_10	MAP2K2	1354	0.7960458993911743	0.45030746	Yes	
row_11	TLN1	1364	0.7930252552032471	0.49519107	Yes	
row_12	GRB2	1597	0.7369589805603027	0.4919765	Yes	
row_13	VCL	1632	0.7253643870353699	0.5278543	Yes	
row_14	ITGB1	2133	0.6049678921699524	0.4630315	No	
row_15	SOS1	2422	0.5276275277137756	0.4362425	No	
row_16	FYN	2749	0.4247893989086151	0.39576498	No	
row_17	ROCK1	2758	0.42156460881233215	0.4189787	No	
row_18	ACTN2	3047	0.3177355229854584	0.3798317	No	
row_19	TNS1	3538	0.1204228475689888	0.2884888	No	
row_20	RAF1	3677	0.054351355880498886	0.26396692	No	
row_21	BCR	3763	0.0237882137298584	0.24829239	No	
