NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ETS2	72	1.6205017566680908	0.16715789	Yes	
row_1	EGFR	451	1.1357324123382568	0.21859287	Yes	
row_2	TNFRSF1A	780	0.982100248336792	0.2628429	Yes	
row_3	PRKCA	1258	0.8200669884681702	0.25903875	Yes	
row_4	NFKB1	1367	0.7917689085006714	0.32610026	Yes	
row_5	IKBKB	1480	0.7643517255783081	0.38928664	Yes	
row_6	MAP3K1	1508	0.7580048441886902	0.46881634	Yes	
row_7	TNFRSF1B	2771	0.4175025224685669	0.26239416	No	
row_8	PRKCH	2949	0.35643091797828674	0.2668245	No	
row_9	DAXX	3290	0.22046929597854614	0.22331347	No	
row_10	RAF1	3677	0.054351355880498886	0.1519566	No	
row_11	FAS	3732	0.03244589641690254	0.14475803	No	
row_12	MAP2K7	3822	-0.007091861218214035	0.12769565	No	
row_13	RIPK1	4012	-0.12002115696668625	0.103224665	No	
row_14	ETS1	4376	-0.371138334274292	0.07198381	No	
row_15	MAP3K5	4497	-0.4712865650653839	0.100722246	No	
