NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHC1	21	1.8458049297332764	0.12873492	Yes	
row_1	HSPB1	182	1.3910084962844849	0.19681121	Yes	
row_2	MAPKAPK2	265	1.296424150466919	0.27373114	Yes	
row_3	HMGN1	409	1.1696052551269531	0.32927242	Yes	
row_4	RAC1	432	1.1502535343170166	0.40770727	Yes	
row_5	CDC42	647	1.034544587135315	0.4392691	Yes	
row_6	CREB1	1166	0.8446075320243835	0.39613038	Yes	
row_7	MAP3K1	1508	0.7580048441886902	0.38228175	Yes	
row_8	TGFB1	1548	0.7491940259933472	0.4284167	Yes	
row_9	GRB2	1597	0.7369589805603027	0.47186387	Yes	
row_10	STAT1	2283	0.5657931566238403	0.37512198	No	
row_11	MAP3K9	2310	0.5581600069999695	0.4101065	No	
row_12	MAPKAPK5	2822	0.4014469385147095	0.33645278	No	
row_13	RAPGEF2	3286	0.2230851948261261	0.25958663	No	
row_14	DAXX	3290	0.22046929597854614	0.2748645	No	
row_15	RIPK1	4012	-0.12002115696668625	0.13878842	No	
row_16	RPS6KA5	4342	-0.3467724919319153	0.097728096	No	
row_17	MAP3K5	4497	-0.4712865650653839	0.10076276	No	
