NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACOX1	57	1.6550307273864746	0.09884523	Yes	
row_1	EP300	101	1.5184762477874756	0.19140136	Yes	
row_2	CREBBP	438	1.1426807641983032	0.20009153	Yes	
row_3	RXRA	794	0.9764829874038696	0.19389203	Yes	
row_4	STAT5B	847	0.9553688168525696	0.24711668	Yes	
row_5	HSP90AA1	878	0.9410319328308105	0.30380273	Yes	
row_6	HSPA1A	1047	0.8806197047233582	0.3287577	Yes	
row_7	NCOR2	1165	0.8449427485466003	0.36157414	Yes	
row_8	HSD17B4	1207	0.8328993320465088	0.408846	Yes	
row_9	STAT5A	1226	0.8263435959815979	0.46029854	Yes	
row_10	PRKCA	1258	0.8200669884681702	0.5087229	Yes	
row_11	NRIP1	1440	0.7736241817474365	0.52393794	Yes	
row_12	MED1	1664	0.7183548212051392	0.5270379	Yes	
row_13	PIK3R1	1693	0.7128299474716187	0.5689184	Yes	
row_14	PRKAR2A	2891	0.3795546591281891	0.3538982	No	
row_15	NCOA1	2944	0.3579346835613251	0.36731073	No	
row_16	PIK3CA	3241	0.24332614243030548	0.3240998	No	
row_17	PPARA	3742	0.029495155438780785	0.22568387	No	
row_18	NCOR1	4411	-0.3972804546356201	0.11804842	No	
