NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHC1	21	1.8458049297332764	0.1414216	Yes	
row_1	CALM1	311	1.2618792057037354	0.18299904	Yes	
row_2	RAC1	432	1.1502535343170166	0.24967767	Yes	
row_3	PAK1	477	1.1198248863220215	0.32920426	Yes	
row_4	CRKL	965	0.9082414507865906	0.30315235	Yes	
row_5	BCAR1	1051	0.8801071643829346	0.35553876	Yes	
row_6	PLCG1	1229	0.8254153728485107	0.38515085	Yes	
row_7	PRKCA	1258	0.8200669884681702	0.44423664	Yes	
row_8	MAP2K2	1354	0.7960458993911743	0.48798412	Yes	
row_9	MAP3K1	1508	0.7580048441886902	0.51709294	Yes	
row_10	GRB2	1597	0.7369589805603027	0.5575829	Yes	
row_11	SOS1	2422	0.5276275277137756	0.43388397	No	
row_12	GNAQ	2663	0.45830103754997253	0.42189008	No	
row_13	CALM2	3001	0.3352416455745697	0.3807245	No	
row_14	PTK2B	3352	0.196052685379982	0.32596844	No	
row_15	RAF1	3677	0.054351355880498886	0.26524878	No	
