NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPRS	1177	0.8418168425559998	-0.10277008	No	
row_1	TNC	1303	0.8091752529144287	3.227256E-4	No	
row_2	MYBPC1	2006	0.6390769481658936	-0.039274156	No	
row_3	CDH13	2063	0.6237426400184631	0.048288874	No	
row_4	P3H3	2988	0.3405277132987976	-0.08312984	No	
row_5	LGALS9	3031	0.3227856159210205	-0.040428	No	
row_6	ARHGAP15	3268	0.2302762120962143	-0.05129579	No	
row_7	HMGA2	3750	0.026404067873954773	-0.14360303	No	
row_8	SLCO1A2	4088	-0.16421906650066376	-0.18519461	Yes	
row_9	SHANK1	4130	-0.19487568736076355	-0.16255227	Yes	
row_10	CDKL5	4140	-0.19989340007305145	-0.13269588	Yes	
row_11	USP9Y	4169	-0.21773068606853485	-0.10382562	Yes	
row_12	CFAP69	4328	-0.32545459270477295	-0.08397084	Yes	
row_13	ZNF529	4644	-0.6026963591575623	-0.051697273	Yes	
row_14	CMKLR1	4818	-0.774718165397644	0.036308873	Yes	
