NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TIMP2	19	1.8503931760787964	0.025166916	Yes	
row_1	ETS2	72	1.6205017566680908	0.04000977	Yes	
row_2	JARID2	123	1.4816950559616089	0.053081717	Yes	
row_3	ZMIZ1	161	1.4202145338058472	0.06783502	Yes	
row_4	ATP2B4	169	1.4039528369903564	0.08843942	Yes	
row_5	GLS	172	1.398827314376831	0.1099811	Yes	
row_6	TARBP1	207	1.3561588525772095	0.12433994	Yes	
row_7	EIF4B	215	1.3440669775009155	0.14400467	Yes	
row_8	PRDM1	233	1.3270080089569092	0.16136633	Yes	
row_9	BZW1	248	1.309409499168396	0.17906247	Yes	
row_10	HSPA8	272	1.2904695272445679	0.19462955	Yes	
row_11	PAM	303	1.2674607038497925	0.20841081	Yes	
row_12	CALM1	311	1.2618792057037354	0.22678596	Yes	
row_13	PALLD	328	1.2459540367126465	0.24307933	Yes	
row_14	NDRG1	330	1.2456715106964111	0.26242143	Yes	
row_15	PES1	408	1.1708253622055054	0.26511994	Yes	
row_16	BAG6	496	1.1077996492385864	0.2647941	Yes	
row_17	EZR	536	1.08531653881073	0.27388552	Yes	
row_18	UBTF	562	1.0737406015396118	0.28564486	Yes	
row_19	MAP4K4	634	1.0422016382217407	0.2875464	Yes	
row_20	AKAP12	657	1.0283763408660889	0.29920456	Yes	
row_21	CHST15	696	1.0127594470977783	0.30736104	Yes	
row_22	RERE	759	0.9884808659553528	0.31025153	Yes	
row_23	NAP1L1	789	0.9790048003196716	0.31971022	Yes	
row_24	SH3PXD2A	809	0.9702405333518982	0.33106682	Yes	
row_25	RREB1	843	0.9579588770866394	0.3393811	Yes	
row_26	TMBIM1	867	0.9463348388671875	0.34954843	Yes	
row_27	HSP90AA1	878	0.9410319328308105	0.36227858	Yes	
row_28	TUBA4A	904	0.9321050643920898	0.37181556	Yes	
row_29	SEPTIN11	931	0.9196671843528748	0.38095382	Yes	
row_30	MYO15B	1026	0.8873544335365295	0.37574422	Yes	
row_31	HSPA1A	1047	0.8806197047233582	0.38549104	Yes	
row_32	MBD2	1058	0.8774375319480896	0.39722335	Yes	
row_33	RPL7	1062	0.8751448392868042	0.41034448	Yes	
row_34	ABLIM1	1094	0.8656653761863708	0.4176177	Yes	
row_35	LMBR1	1190	0.8374058604240417	0.41142085	Yes	
row_36	DST	1347	0.7983970642089844	0.39219585	Yes	
row_37	TJP1	1355	0.7958882451057434	0.40325922	Yes	
row_38	NFKB1	1367	0.7917689085006714	0.41344377	Yes	
row_39	DCAF6	1374	0.7900639176368713	0.4246193	Yes	
row_40	FAM189B	1385	0.7874325513839722	0.43493932	Yes	
row_41	IL4R	1415	0.7794376611709595	0.44126666	Yes	
row_42	SRRM1	1495	0.7605593800544739	0.43712068	No	
row_43	ZFP36	1545	0.749927282333374	0.43891412	No	
row_44	DLG5	1663	0.7184545993804932	0.4263729	No	
row_45	TTYH3	1673	0.7163798213005066	0.43578163	No	
row_46	TSC22D1	1890	0.6648450493812561	0.4022486	No	
row_47	SRSF2	1907	0.6602854132652283	0.40935236	No	
row_48	PHLDB1	1914	0.6581494212150574	0.418458	No	
row_49	ESYT1	1917	0.6574761271476746	0.4283673	No	
row_50	SLC2A3	2001	0.6403239965438843	0.42152053	No	
row_51	CAMK2D	2028	0.6332575678825378	0.4261648	No	
row_52	ITSN1	2121	0.6093701720237732	0.4170005	No	
row_53	FRY	2174	0.5941349864006042	0.4157388	No	
row_54	PTPRC	2185	0.5916759371757507	0.42298728	No	
row_55	ARHGAP5	2334	0.5523810982704163	0.4015304	No	
row_56	TANC2	2394	0.5374985933303833	0.39795527	No	
row_57	SMARCC1	2408	0.5312720537185669	0.40364534	No	
row_58	NPEPPS	2645	0.46282315254211426	0.3628716	No	
row_59	EPB41L3	2659	0.4593716263771057	0.36743346	No	
row_60	GNAQ	2663	0.45830103754997253	0.37401396	No	
row_61	STIP1	2723	0.4362054765224457	0.36884943	No	
row_62	TUBB3	2953	0.3542364537715912	0.32779667	No	
row_63	NYNRIN	2998	0.33643972873687744	0.32411987	No	
row_64	HINT1	3028	0.32473841309547424	0.32331258	No	
row_65	KLHDC4	3083	0.3057057857513428	0.3171181	No	
row_66	TLN2	3153	0.27740660309791565	0.30742645	No	
row_67	SVEP1	3207	0.25994834303855896	0.30071756	No	
row_68	FOXN3	3291	0.2193584144115448	0.28726554	No	
row_69	PTPRD	3363	0.19126847386360168	0.27581522	No	
row_70	SEL1L3	3495	0.13916757702827454	0.25133494	No	
row_71	ANKRD6	3521	0.12820573151111603	0.24825805	No	
row_72	USP38	3610	0.08251400291919708	0.2316411	No	
row_73	EIF4E	3690	0.04833684861660004	0.21631975	No	
row_74	BCR	3763	0.0237882137298584	0.20203802	No	
row_75	MYO5B	3795	0.00874541699886322	0.19586545	No	
row_76	ARHGEF12	3814	-0.0029474953189492226	0.19224794	No	
row_77	CAPN12	3843	-0.013822901993989944	0.18676567	No	
row_78	ATP9A	3877	-0.033004265278577805	0.18056667	No	
row_79	AKT3	4071	-0.1556239277124405	0.143725	No	
row_80	MYH10	4123	-0.18858256936073303	0.1363034	No	
row_81	RALGAPA1	4231	-0.261033296585083	0.11862027	No	
row_82	CHST2	4299	-0.3059539496898651	0.10978365	No	
row_83	SLC17A7	4325	-0.32398083806037903	0.10977864	No	
row_84	LRRFIP1	4332	-0.33346232771873474	0.11378969	No	
row_85	FUT8	4733	-0.6819621324539185	0.043073595	No	
row_86	ATL1	4748	-0.6924315690994263	0.05108884	No	
