NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HDLBP	7	2.001699686050415	0.036700502	Yes	
row_1	ALDOA	25	1.8169260025024414	0.06785334	Yes	
row_2	SEC61A1	30	1.7903282642364502	0.101137094	Yes	
row_3	HSPA5	125	1.4741795063018799	0.110140786	Yes	
row_4	IVNS1ABP	155	1.4302537441253662	0.13149521	Yes	
row_5	OXA1L	162	1.4200800657272339	0.15732214	Yes	
row_6	MAGED1	177	1.396297574043274	0.1810731	Yes	
row_7	COL6A3	201	1.3635072708129883	0.20237368	Yes	
row_8	TGFBI	237	1.3211308717727661	0.22043267	Yes	
row_9	HSP90B1	261	1.298081398010254	0.24048726	Yes	
row_10	TMED9	264	1.2970317602157593	0.26478237	Yes	
row_11	HNRNPU	374	1.2030640840530396	0.26557967	Yes	
row_12	CD74	390	1.1858562231063843	0.2851201	Yes	
row_13	P4HB	483	1.1168688535690308	0.28772485	Yes	
row_14	ACO2	654	1.0301313400268555	0.27285308	Yes	
row_15	ATP5F1A	664	1.0265551805496216	0.29057702	Yes	
row_16	CEP250	671	1.024307370185852	0.3088668	Yes	
row_17	ZNF385A	710	1.0062053203582764	0.32031965	Yes	
row_18	KANSL1	730	1.0004006624221802	0.3355167	Yes	
row_19	KANSL3	743	0.99619060754776	0.35205373	Yes	
row_20	IST1	750	0.9925603866577148	0.3697389	Yes	
row_21	DIP2B	811	0.9692644476890564	0.37602487	Yes	
row_22	PIGS	925	0.9213836193084717	0.3706463	Yes	
row_23	RHOT2	1089	0.8670276999473572	0.35408852	Yes	
row_24	HSPA9	1104	0.8636907339096069	0.36769643	Yes	
row_25	NDUFS2	1141	0.8523527383804321	0.37662506	Yes	
row_26	NDUFV1	1167	0.8441703915596008	0.38762954	Yes	
row_27	RBCK1	1230	0.8253017663955688	0.3907681	Yes	
row_28	SLC22A17	1248	0.8219651579856873	0.40297276	Yes	
row_29	FLOT1	1253	0.8209102749824524	0.41779476	Yes	
row_30	MIDN	1301	0.8096580505371094	0.4236786	Yes	
row_31	NDUFB5	1379	0.7888208031654358	0.42307922	Yes	
row_32	PPIB	1532	0.7535039782524109	0.40659115	Yes	
row_33	BLCAP	1596	0.7373590469360352	0.40785202	Yes	
row_34	WIPI1	1641	0.7236747741699219	0.41270703	Yes	
row_35	DAP3	1727	0.7043499946594238	0.4088759	Yes	
row_36	ATP1A1	1785	0.6938490867614746	0.41052547	Yes	
row_37	CS	1819	0.6862438321113586	0.41689932	Yes	
row_38	TRIM38	1871	0.6698664426803589	0.41930944	Yes	
row_39	DGLUCY	1927	0.6563127040863037	0.42064992	Yes	
row_40	LIMS1	1950	0.6515446901321411	0.42859465	Yes	
row_41	PDIA3	1973	0.6464564204216003	0.43644246	Yes	
row_42	TYMP	2077	0.620630145072937	0.42736512	No	
row_43	APOBEC3C	2479	0.5119463205337524	0.35575944	No	
row_44	ELMO1	2513	0.5017114281654358	0.35861903	No	
row_45	LONP1	2518	0.5005427002906799	0.36733994	No	
row_46	TRIM2	2545	0.4925788938999176	0.37144578	No	
row_47	PCMTD1	2553	0.48995864391326904	0.37935644	No	
row_48	MRRF	2629	0.4676850140094757	0.37304705	No	
row_49	NDRG2	2646	0.4628150165081024	0.37861487	No	
row_50	AARS1	2680	0.45386844873428345	0.38056335	No	
row_51	STRADA	2748	0.4249713122844696	0.37506354	No	
row_52	NDEL1	2836	0.3965114951133728	0.36496413	No	
row_53	NLRP1	2858	0.38670188188552856	0.36806804	No	
row_54	PDE4DIP	3058	0.3137761950492859	0.33367035	No	
row_55	WWP1	3074	0.30981549620628357	0.3365273	No	
row_56	CCL5	3078	0.3082086443901062	0.34178823	No	
row_57	ELN	3143	0.2810715138912201	0.3341566	No	
row_58	CNDP2	3146	0.27958112955093384	0.33907524	No	
row_59	IFITM3	3272	0.22949106991291046	0.31808558	No	
row_60	RAPGEF2	3286	0.2230851948261261	0.3196966	No	
row_61	UPP1	3539	0.12031856179237366	0.27086198	No	
row_62	NFX1	3582	0.09618445485830307	0.26417273	No	
row_63	DDX23	3586	0.09577268362045288	0.26538798	No	
row_64	TBC1D15	3634	0.07361973077058792	0.25725463	No	
row_65	SCARB1	3665	0.060640931129455566	0.25232303	No	
row_66	MTHFD2	3694	0.04688305780291557	0.24753523	No	
row_67	NSUN3	3710	0.03972632810473442	0.24524857	No	
row_68	FBXO42	3853	-0.017988011240959167	0.21678205	No	
row_69	ZBED5	4268	-0.28797897696495056	0.13827366	No	
row_70	AKAP6	4551	-0.5161392688751221	0.09089068	No	
