NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAZ	1	2.2425599098205566	0.067064255	Yes	
row_1	PSMD2	13	1.9012479782104492	0.121873036	Yes	
row_2	HMGB1	77	1.6145058870315552	0.1575886	Yes	
row_3	HIP1	144	1.4465829133987427	0.18766195	Yes	
row_4	ITGA6	171	1.399659276008606	0.22439884	Yes	
row_5	EIF5A	287	1.2826509475708008	0.23966801	Yes	
row_6	CASP2	289	1.2815665006637573	0.27790707	Yes	
row_7	FKBP1A	515	1.099422574043274	0.26548496	Yes	
row_8	PDLIM5	566	1.0718179941177368	0.2875456	Yes	
row_9	DNAJB11	629	1.044299602508545	0.30635947	Yes	
row_10	CTPS1	701	1.0111628770828247	0.32236344	Yes	
row_11	EIF3B	807	0.9710969924926758	0.33030525	Yes	
row_12	KIF22	834	0.961689293384552	0.35390514	Yes	
row_13	WSB2	852	0.9531620144844055	0.37906522	Yes	
row_14	TUBA4A	904	0.9321050643920898	0.39673334	Yes	
row_15	CXCL12	932	0.9195098280906677	0.41886628	Yes	
row_16	MYH1	1175	0.8426054120063782	0.3953107	Yes	
row_17	FOXM1	1311	0.8062641620635986	0.39225504	Yes	
row_18	FARSB	1384	0.7876228094100952	0.4013521	Yes	
row_19	ARHGEF1	1407	0.7820539474487305	0.4203709	Yes	
row_20	MTHFD1	1620	0.7287519574165344	0.39945352	Yes	
row_21	EZH2	1682	0.7148675322532654	0.4085878	Yes	
row_22	MET	1925	0.6567562222480774	0.37945765	Yes	
row_23	MCM3	2066	0.6232246160507202	0.36990282	Yes	
row_24	SLC16A3	2110	0.6134581565856934	0.37962726	Yes	
row_25	TUBG1	2153	0.5991834998130798	0.38912532	Yes	
row_26	DCBLD1	2155	0.5986829400062561	0.40688115	Yes	
row_27	ASB6	2158	0.5980894565582275	0.4244174	Yes	
row_28	RRM2	2285	0.5656615495681763	0.41596082	No	
row_29	POLD1	2396	0.5369787812232971	0.40987226	No	
row_30	FANCA	2474	0.5130782127380371	0.40972543	No	
row_31	LMNB2	2861	0.38557320833206177	0.3434054	No	
row_32	PARP11	3415	0.1713555008172989	0.23696332	No	
row_33	NUP88	3604	0.08654139190912247	0.20162533	No	
row_34	ST3GAL4	3787	0.01467433013021946	0.16534233	No	
row_35	HERC4	3799	0.0063214716501533985	0.1633124	No	
row_36	CMC2	4082	-0.16061460971832275	0.111229345	No	
row_37	CDH2	4109	-0.17826443910598755	0.111330256	No	
row_38	VEGFC	4210	-0.2457175999879837	0.09852304	No	
row_39	KCNC4	4248	-0.2728774845600128	0.09924236	No	
row_40	CLSPN	4285	-0.29550793766975403	0.10084226	No	
row_41	PAICS	4298	-0.3053656816482544	0.10758045	No	
row_42	ELOC	4389	-0.38276562094688416	0.10090178	No	
row_43	POLR3K	4784	-0.732772946357727	0.04338186	No	
