NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDRG1	330	1.2456715106964111	0.12644142	No	
row_1	SNX8	2157	0.5981568098068237	-0.14742112	Yes	
row_2	RGS3	2291	0.5634602308273315	-0.08696279	Yes	
row_3	TMEM230	2529	0.49681708216667175	-0.057678122	Yes	
row_4	PPCS	2687	0.45080241560935974	-0.019458642	Yes	
row_5	ITPK1	2940	0.3591247797012329	-0.014478853	Yes	
row_6	C8orf33	3132	0.2855799198150635	-0.008634212	Yes	
row_7	PHYKPL	3224	0.25213155150413513	0.012101568	Yes	
row_8	KLF8	3791	0.010144024156033993	-0.09989298	Yes	
row_9	TAF11	3854	-0.01859598606824875	-0.10945676	Yes	
row_10	PMM2	3890	-0.042703256011009216	-0.10987483	Yes	
row_11	LAMC3	3969	-0.09403126686811447	-0.1109822	Yes	
row_12	MRPL30	4272	-0.29025891423225403	-0.12668519	Yes	
row_13	LST1	4452	-0.4318868815898895	-0.09580527	Yes	
row_14	GTF2H5	4567	-0.5296587347984314	-0.03676241	Yes	
row_15	NEGR1	4838	-0.7968484163284302	0.032303367	Yes	
