NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GBF1	17	1.8615704774856567	0.038539503	Yes	
row_1	ATXN1	53	1.664854645729065	0.068997465	Yes	
row_2	GNAI2	213	1.348548173904419	0.0672107	Yes	
row_3	MYO1D	279	1.2866179943084717	0.08306332	Yes	
row_4	BACE2	286	1.2828961610794067	0.110780165	Yes	
row_5	NDRG1	330	1.2456715106964111	0.13016461	Yes	
row_6	BCL6	341	1.2367304563522339	0.15603027	Yes	
row_7	MIA3	388	1.1868098974227905	0.17347974	Yes	
row_8	CEMIP	411	1.1690384149551392	0.19538867	Yes	
row_9	PTOV1	414	1.1659873723983765	0.22127904	Yes	
row_10	ANXA6	433	1.1488608121871948	0.24354298	Yes	
row_11	CAST	573	1.0691626071929932	0.23950572	Yes	
row_12	NOTCH3	693	1.0137178897857666	0.23826829	Yes	
row_13	CAPN2	715	1.004702091217041	0.25667363	Yes	
row_14	BCAM	879	0.9409239292144775	0.24488406	Yes	
row_15	LIMCH1	891	0.9370248317718506	0.26378825	Yes	
row_16	MXRA7	907	0.9298649430274963	0.2817209	Yes	
row_17	CDS2	948	0.9139296412467957	0.29423144	Yes	
row_18	IL1R1	1018	0.89010089635849	0.30033174	Yes	
row_19	VEGFB	1029	0.8862693905830383	0.3182938	Yes	
row_20	PNRC1	1049	0.8801835775375366	0.33429602	Yes	
row_21	KIAA0513	1088	0.8676578998565674	0.34616804	Yes	
row_22	SLC12A2	1146	0.8515021204948425	0.353828	Yes	
row_23	EPAS1	1168	0.8439632058143616	0.36860836	Yes	
row_24	CREB3L2	1214	0.8305725455284119	0.37822646	Yes	
row_25	MUC1	1247	0.8221246600151062	0.39028668	Yes	
row_26	BCL3	1275	0.8157188892364502	0.403215	Yes	
row_27	PLPP2	1346	0.7985493540763855	0.40704814	Yes	
row_28	MALL	1594	0.7381816506385803	0.37367538	Yes	
row_29	SPTBN2	1603	0.7325960993766785	0.3885768	Yes	
row_30	WIPI1	1641	0.7236747741699219	0.39740425	Yes	
row_31	TNFRSF21	1646	0.7221322059631348	0.41287974	Yes	
row_32	ITGB4	1806	0.6890968084335327	0.396221	Yes	
row_33	DRAM1	1820	0.6861998438835144	0.40906355	Yes	
row_34	KCNMA1	1862	0.671050488948822	0.41589415	Yes	
row_35	SCAMP4	2272	0.5682368874549866	0.345882	No	
row_36	PTMS	2274	0.568060576915741	0.3584904	No	
row_37	MPI	2420	0.5280992388725281	0.341036	No	
row_38	SH3GLB2	2424	0.5275714993476868	0.35232627	No	
row_39	PACS1	2434	0.5242359042167664	0.36232626	No	
row_40	NNT	2499	0.5052292943000793	0.3607595	No	
row_41	RAB5C	2536	0.4952188730239868	0.3646373	No	
row_42	VASP	2538	0.4945444166660309	0.37558773	No	
row_43	STIP1	2723	0.4362054765224457	0.348163	No	
row_44	CSGALNACT1	2831	0.39853060245513916	0.335482	No	
row_45	EPHX1	2881	0.3813623785972595	0.33415946	No	
row_46	CHST11	2927	0.3636798858642578	0.33324817	No	
row_47	PDE4D	3008	0.3304484784603119	0.32449955	No	
row_48	CLMN	3248	0.2413480281829834	0.2815423	No	
row_49	EPB41L4A	3294	0.21920034289360046	0.2773727	No	
row_50	AKR1C2	3360	0.19232255220413208	0.26854673	No	
row_51	ASPH	3441	0.1619826853275299	0.25599888	No	
row_52	LRP5	3641	0.06975892931222916	0.21727239	No	
row_53	FADS2	3675	0.054554637521505356	0.21181983	No	
row_54	DOCK10	3786	0.014816191047430038	0.18987773	No	
row_55	P4HA2	3901	-0.05261087045073509	0.16797796	No	
row_56	FGF13	4058	-0.1477605253458023	0.13971852	No	
row_57	NIBAN1	4199	-0.2367679327726364	0.11670656	No	
row_58	TBC1D8	4428	-0.40960192680358887	0.07977137	No	
row_59	FER1L4	4453	-0.43405500054359436	0.08469993	No	
row_60	CAMK2N1	4485	-0.46177804470062256	0.08883611	No	
row_61	ABCG1	4714	-0.667443037033081	0.05771577	No	
