NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PODXL	133	1.4638131856918335	0.019599127	Yes	
row_1	GATAD2B	152	1.433205485343933	0.06144065	Yes	
row_2	RAI1	227	1.3355578184127808	0.08887986	Yes	
row_3	HEXA	315	1.2583661079406738	0.11124567	Yes	
row_4	NDRG1	330	1.2456715106964111	0.14794426	Yes	
row_5	PDLIM3	539	1.0819591283798218	0.14028805	Yes	
row_6	PJA2	563	1.073603868484497	0.1697103	Yes	
row_7	KIAA0930	630	1.0440956354141235	0.1895164	Yes	
row_8	SELENON	640	1.0394591093063354	0.22068125	Yes	
row_9	CHST15	696	1.0127594470977783	0.2417135	Yes	
row_10	PRXL2A	724	1.0010085105895996	0.2680249	Yes	
row_11	APP	775	0.9828956723213196	0.28911886	Yes	
row_12	GRINA	990	0.9001361727714539	0.27448237	Yes	
row_13	RNF130	1013	0.8924867510795593	0.2983597	Yes	
row_14	VEGFB	1029	0.8862693905830383	0.32345277	Yes	
row_15	LGMN	1107	0.8625215888023376	0.33527717	Yes	
row_16	G6PC3	1149	0.8495827317237854	0.35395792	Yes	
row_17	PLAGL1	1159	0.8457722663879395	0.37897715	Yes	
row_18	POSTN	1285	0.8135012984275818	0.37955704	Yes	
row_19	CTSH	1307	0.8081461191177368	0.40096015	Yes	
row_20	PCMTD2	1427	0.7768746018409729	0.40158904	Yes	
row_21	COL4A2	1433	0.775137186050415	0.4251745	Yes	
row_22	PLXNB2	1473	0.7657445073127747	0.4415988	Yes	
row_23	IGF2BP2	1505	0.7585569620132446	0.4594099	Yes	
row_24	COL4A1	1614	0.7297543883323669	0.46076408	Yes	
row_25	RASAL2	1702	0.7104122042655945	0.46574357	Yes	
row_26	PTPN13	1878	0.668938159942627	0.45164368	No	
row_27	SLIT3	1929	0.6558144092559814	0.46235952	No	
row_28	PKDCC	2100	0.6152325868606567	0.44756487	No	
row_29	CD55	2389	0.5389742255210876	0.40653142	No	
row_30	SAMD8	2517	0.5006170868873596	0.39677992	No	
row_31	MYO6	2570	0.484561949968338	0.4016583	No	
row_32	BAIAP2L1	2937	0.3598281741142273	0.3391958	No	
row_33	SLC39A8	3020	0.32692012190818787	0.3330165	No	
row_34	ANKS1A	3126	0.28692805767059326	0.32092562	No	
row_35	PLOD2	3301	0.21628551185131073	0.29266512	No	
row_36	NARF	3382	0.18310154974460602	0.28232628	No	
row_37	LMBRD1	3432	0.16555580496788025	0.2776883	No	
row_38	SEL1L3	3495	0.13916757702827454	0.2695889	No	
row_39	FBXL20	3513	0.13136352598667145	0.27032542	No	
row_40	FARP1	3599	0.08857782185077667	0.2559781	No	
row_41	KIF21A	3798	0.006814347580075264	0.21622662	No	
row_42	P4HA2	3901	-0.05261087045073509	0.19730651	No	
row_43	CDH2	4109	-0.17826443910598755	0.16117835	No	
row_44	SMIM14	4145	-0.201487198472023	0.16050644	No	
row_45	SGCE	4373	-0.3680381178855896	0.12636258	No	
