NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEMA6D	762	0.9873209595680237	-0.09929903	Yes	
row_1	RIN2	860	0.9501734375953674	-0.06669882	Yes	
row_2	PBXIP1	1008	0.894738495349884	-0.047210872	Yes	
row_3	UTY	1040	0.8835647702217102	-0.004972492	Yes	
row_4	PNRC1	1049	0.8801835775375366	0.041712783	Yes	
row_5	TNS3	1359	0.7950059175491333	0.023099907	Yes	
row_6	HDAC5	1590	0.739126443862915	0.017332247	Yes	
row_7	TNFAIP2	1784	0.6939231157302856	0.016536402	Yes	
row_8	SLC24A1	1793	0.6910063028335571	0.05284133	Yes	
row_9	FCGR2A	1981	0.6440373659133911	0.05051666	Yes	
row_10	NUAK1	2086	0.6181274056434631	0.063487306	Yes	
row_11	JCAD	2254	0.5725022554397583	0.061265633	Yes	
row_12	MYLK	2277	0.5673787593841553	0.087967254	Yes	
row_13	KDM5D	2360	0.5466912388801575	0.10144915	Yes	
row_14	TANC2	2394	0.5374985933303833	0.124295704	Yes	
row_15	PPP2R5C	2542	0.49309274554252625	0.12174495	No	
row_16	TMEM19	2694	0.4481731057167053	0.11592377	No	
row_17	KANSL1L	2894	0.3777526915073395	0.09657087	No	
row_18	CACNA1E	3093	0.30190348625183105	0.07325747	No	
row_19	PBX1	3179	0.26893216371536255	0.070894204	No	
row_20	PLA2G4C	3274	0.22814799845218658	0.06448039	No	
row_21	TG	3307	0.21372324228286743	0.06976248	No	
row_22	KIAA0319L	3330	0.2055664211511612	0.0766111	No	
row_23	DDX58	3652	0.06606655567884445	0.015583668	No	
row_24	MACROH2A2	3653	0.06555098295211792	0.019180516	No	
row_25	CRYBG2	3663	0.060780808329582214	0.020702932	No	
row_26	SDCCAG8	4078	-0.15870623290538788	-0.053972386	No	
row_27	FZD3	4137	-0.19843369722366333	-0.054765902	No	
row_28	EYA1	4482	-0.45564141869544983	-0.0990494	No	
row_29	SULT1B1	4532	-0.5030836462974548	-0.081313774	No	
row_30	RASGRP3	4564	-0.5248540043830872	-0.058758214	No	
row_31	MAGI2	4582	-0.5428253412246704	-0.032396812	No	
row_32	CYP46A1	4737	-0.6850664615631104	-0.025823647	No	
row_33	POU2AF1	4762	-0.7069424390792847	0.008133159	No	
row_34	PCSK5	4766	-0.7180392146110535	0.046928465	No	
