NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RREB1	843	0.9579588770866394	-0.0956325	No	
row_1	SORL1	954	0.9116877317428589	-0.047521673	No	
row_2	SPP1	1003	0.8971038460731506	0.011925737	No	
row_3	ANK3	1500	0.7596024870872498	-0.029249176	No	
row_4	ITGB2	1634	0.7246482968330383	-1.6605086E-4	No	
row_5	DOCK4	2136	0.6038016080856323	-0.05434536	No	
row_6	LRCH1	2167	0.5966129302978516	-0.014423983	No	
row_7	DDX6	2387	0.5395950078964233	-0.016876368	No	
row_8	DCBLD2	3110	0.29373082518577576	-0.13935009	No	
row_9	ADAM19	3325	0.20836670696735382	-0.16630839	No	
row_10	SCN1B	3503	0.13582104444503784	-0.19141838	No	
row_11	SCN2A	3667	0.060204386711120605	-0.21953876	No	
row_12	SLC6A15	3987	-0.10638593137264252	-0.27545276	No	
row_13	CEACAM1	3998	-0.11257554590702057	-0.268792	No	
row_14	APOBEC3G	4147	-0.20403490960597992	-0.28282028	No	
row_15	TAPT1	4284	-0.29514437913894653	-0.28741986	Yes	
row_16	CFAP69	4328	-0.32545459270477295	-0.27099526	Yes	
row_17	RELN	4543	-0.5121029615402222	-0.2745602	Yes	
row_18	TFPI	4629	-0.5884275436401367	-0.24632233	Yes	
row_19	SNAP25	4685	-0.6364916563034058	-0.20835367	Yes	
row_20	ZNF528	4746	-0.6912325620651245	-0.16717377	Yes	
row_21	KIF5C	4890	-0.8601747155189514	-0.12966223	Yes	
row_22	NAV3	4923	-0.939574658870697	-0.06372834	Yes	
row_23	MAPK10	4959	-1.023136854171753	0.008038496	Yes	
