NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CBL	338	1.239708662033081	0.013267645	Yes	
row_1	DNM1	549	1.0772913694381714	0.041624755	Yes	
row_2	SETD1A	994	0.8987048864364624	0.011248354	Yes	
row_3	ABCB8	1102	0.8639993667602539	0.04633725	Yes	
row_4	SYNPO2L	1268	0.8176815509796143	0.06673381	Yes	
row_5	HDAC7	1488	0.7622839212417603	0.07264725	Yes	
row_6	KMT2A	1536	0.7520933151245117	0.11246603	Yes	
row_7	WDR33	1615	0.729729950428009	0.14458874	Yes	
row_8	GMIP	1941	0.6537038683891296	0.12208309	Yes	
row_9	PLCH2	1945	0.6521772146224976	0.16420107	Yes	
row_10	MMP13	2150	0.5997322797775269	0.16248162	No	
row_11	PLCB3	2383	0.5405734777450562	0.15125881	No	
row_12	RAPGEF3	2939	0.3593572676181793	0.06324079	No	
row_13	INPP5D	3384	0.18294675648212433	-0.014021479	No	
row_14	AATK	3674	0.054666146636009216	-0.068531014	No	
row_15	EPB41	3705	0.043277449905872345	-0.07172627	No	
row_16	ENPP1	3764	0.023581422865390778	-0.08183985	No	
row_17	SHANK1	4130	-0.19487568736076355	-0.14244132	No	
row_18	USP53	4347	-0.35217320919036865	-0.16278924	No	
row_19	ACE	4511	-0.4812311828136444	-0.16402991	No	
row_20	TF	4628	-0.5863450169563293	-0.14893787	No	
row_21	C5	4839	-0.7976433634757996	-0.13889915	No	
row_22	ZNF480	4874	-0.8386826515197754	-0.09079525	No	
row_23	HHLA1	4876	-0.840689480304718	-0.035926737	No	
row_24	STARD8	4915	-0.922818124294281	0.016884442	No	
