NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AKT2	302	1.2677631378173828	0.046834614	No	
row_1	CLSTN2	420	1.1611137390136719	0.121769965	No	
row_2	SPP1	1003	0.8971038460731506	0.080971144	No	
row_3	TTLL3	1126	0.855288565158844	0.12897867	No	
row_4	CLSTN3	1161	0.8454462885856628	0.19381903	No	
row_5	JAK3	2076	0.6207994818687439	0.062945314	No	
row_6	LRRC37A4P	2124	0.6088630557060242	0.10512121	No	
row_7	HSF1	2423	0.5275763869285583	0.09001515	No	
row_8	MCF2L	2779	0.41460657119750977	0.053889453	No	
row_9	HECW1	3502	0.13582491874694824	-0.07954783	No	
row_10	SOX12	3575	0.10007070004940033	-0.08552002	No	
row_11	MAN1C1	3613	0.081774041056633	-0.086016476	No	
row_12	ATG10	4063	-0.1513178050518036	-0.1633322	No	
row_13	SDCCAG8	4078	-0.15870623290538788	-0.15268975	No	
row_14	NPHP1	4592	-0.5515007376670837	-0.20893183	Yes	
row_15	REST	4665	-0.6181725263595581	-0.17098588	Yes	
row_16	TUBA8	4670	-0.6229879856109619	-0.11897984	Yes	
row_17	CD247	4904	-0.8997082710266113	-0.08949165	Yes	
row_18	CCDC57	4994	-1.2783616781234741	0.0010038738	Yes	
