NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRDM1	233	1.3270080089569092	0.0548912	Yes	
row_1	MACF1	247	1.3096774816513062	0.15261371	Yes	
row_2	CLSTN2	420	1.1611137390136719	0.20704013	Yes	
row_3	TNFAIP3	568	1.0709056854248047	0.25957397	Yes	
row_4	AKAP12	657	1.0283763408660889	0.32069233	Yes	
row_5	PRRX1	707	1.0073693990707397	0.3880296	Yes	
row_6	MGLL	955	0.9109541177749634	0.40823758	Yes	
row_7	IGF2	1509	0.7577415704727173	0.35528713	No	
row_8	TMPRSS4	2220	0.5837960243225098	0.25749758	No	
row_9	SPON2	2805	0.40699365735054016	0.1714546	No	
row_10	CEACAM1	3998	-0.11257554590702057	-0.059182547	No	
row_11	ANKRD36BP2	4162	-0.21237348020076752	-0.0756308	No	
row_12	TMEM176A	4190	-0.23159754276275635	-0.06330806	No	
row_13	TAPT1	4284	-0.29514437913894653	-0.059364814	No	
row_14	TFPI	4629	-0.5884275436401367	-0.08333507	No	
row_15	SNAP25	4685	-0.6364916563034058	-0.045614395	No	
row_16	ADGRD2	4689	-0.6381844878196716	0.002673541	No	
row_17	CMKLR1	4818	-0.774718165397644	0.036330737	No	
