NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NRP1	36	1.7604265213012695	0.03868669	Yes	
row_1	DLGAP4	40	1.7393972873687744	0.0835097	Yes	
row_2	GREM1	113	1.4955196380615234	0.10798401	Yes	
row_3	COL6A3	201	1.3635072708129883	0.12597144	Yes	
row_4	FAM168A	321	1.249053716659546	0.1344865	Yes	
row_5	BCL6	341	1.2367304563522339	0.16293901	Yes	
row_6	PLAU	465	1.125832200050354	0.16742532	Yes	
row_7	ELK3	495	1.1082342863082886	0.19049574	Yes	
row_8	EHBP1L1	607	1.0535366535186768	0.1955249	Yes	
row_9	AKAP12	657	1.0283763408660889	0.21245769	Yes	
row_10	ZMYND8	666	1.0263737440109253	0.2376445	Yes	
row_11	SERPINE1	692	1.0139604806900024	0.25906298	Yes	
row_12	VCAN	726	1.000718355178833	0.27851486	Yes	
row_13	MVP	763	0.986875057220459	0.2969974	Yes	
row_14	INHBA	957	0.9105870127677917	0.28168026	Yes	
row_15	PPP2R3B	1002	0.8971853852272034	0.29619947	Yes	
row_16	SEC24D	1179	0.8408011794090271	0.2825037	Yes	
row_17	BCL3	1275	0.8157188892364502	0.28456286	Yes	
row_18	BBS9	1321	0.804492712020874	0.29645848	Yes	
row_19	ACADVL	1340	0.7995389103889465	0.31369472	Yes	
row_20	PLPP2	1346	0.7985493540763855	0.3335388	Yes	
row_21	LTBP3	1348	0.797950029373169	0.35417762	Yes	
row_22	IFI27	1462	0.7678971290588379	0.35134107	Yes	
row_23	MED24	1504	0.7587414979934692	0.3628521	Yes	
row_24	SMTN	1611	0.7300509214401245	0.3604452	Yes	
row_25	EMP3	1716	0.7083920836448669	0.35787776	Yes	
row_26	MTAP	1794	0.6907770037651062	0.3603203	Yes	
row_27	PTPRG	1800	0.68964022397995	0.37731984	Yes	
row_28	PLCH2	1945	0.6521772146224976	0.36518043	No	
row_29	ADGRE5	2115	0.6124576926231384	0.3469388	No	
row_30	PDLIM2	2376	0.5421138405799866	0.30842385	No	
row_31	MPI	2420	0.5280992388725281	0.31350562	No	
row_32	GALNT6	2440	0.5227392911911011	0.3233096	No	
row_33	G6PD	2480	0.5118981599807739	0.3287786	No	
row_34	ANKRD36B	2656	0.4600832462310791	0.30534154	No	
row_35	STX4	2747	0.4262855052947998	0.29824218	No	
row_36	SLC4A7	2775	0.4168945550918579	0.3036609	No	
row_37	SERPINB1	3019	0.3269694149494171	0.26297078	No	
row_38	PPM1D	3023	0.3252045512199402	0.27085692	No	
row_39	ARHGEF3	3073	0.3101465702056885	0.26903048	No	
row_40	LRP8	3127	0.2863733768463135	0.26577273	No	
row_41	BMPR2	3239	0.24571368098258972	0.24970262	No	
row_42	BCL2L1	3359	0.19242411851882935	0.23061989	No	
row_43	ETNK1	3433	0.16547077894210815	0.22015247	No	
row_44	ASPH	3441	0.1619826853275299	0.22296509	No	
row_45	SLC26A2	3455	0.15686698257923126	0.22442855	No	
row_46	CORO1A	3606	0.08451733738183975	0.19624706	No	
row_47	FADS2	3675	0.054554637521505356	0.1838956	No	
row_48	CAPRIN2	3682	0.05228874459862709	0.18404576	No	
row_49	ETFB	3819	-0.005929138977080584	0.15664795	No	
row_50	ATP9A	3877	-0.033004265278577805	0.14596216	No	
row_51	DPYSL2	3914	-0.05988883599638939	0.14023302	No	
row_52	INPP4B	3929	-0.0636589527130127	0.13905941	No	
row_53	IFIT1	3935	-0.06681352853775024	0.13979153	No	
row_54	ALDH7A1	3945	-0.07450956851243973	0.13991429	No	
row_55	IRF9	4013	-0.1200905442237854	0.12947714	No	
row_56	AKT3	4071	-0.1556239277124405	0.12199403	No	
row_57	CLPB	4106	-0.17748507857322693	0.119741544	No	
row_58	VEGFC	4210	-0.2457175999879837	0.10529227	No	
row_59	FAR2	4288	-0.2968904674053192	0.097446986	No	
row_60	STK4	4315	-0.3146780729293823	0.10039854	No	
row_61	RPS6KA5	4342	-0.3467724919319153	0.10418837	No	
row_62	TBC1D8	4428	-0.40960192680358887	0.09766621	No	
row_63	FUT8	4733	-0.6819621324539185	0.053889845	No	
