NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CBL	338	1.239708662033081	0.03180151	No	
row_1	TENM2	514	1.0994493961334229	0.08507215	No	
row_2	KRT17	1076	0.871167004108429	0.042424522	No	
row_3	NES	1260	0.8197978138923645	0.07159446	No	
row_4	DSG3	1660	0.7189468741416931	0.049252987	No	
row_5	SRC	1935	0.654691755771637	0.04685879	No	
row_6	MX1	2816	0.4025229513645172	-0.09757828	No	
row_7	MDFI	2931	0.36308911442756653	-0.09127917	No	
row_8	MX2	3040	0.3205563426017761	-0.087195575	No	
row_9	CACNA1S	3170	0.2722291946411133	-0.0912185	No	
row_10	FCHO1	4117	-0.1865551918745041	-0.26628757	Yes	
row_11	DEPDC5	4136	-0.19806699454784393	-0.25397304	Yes	
row_12	ITIH5	4139	-0.19984741508960724	-0.23830047	Yes	
row_13	RYR2	4156	-0.20765739679336548	-0.22481269	Yes	
row_14	KLF3	4205	-0.24300242960453033	-0.21491155	Yes	
row_15	HINFP	4313	-0.3140357732772827	-0.2111515	Yes	
row_16	ETS1	4376	-0.371138334274292	-0.19375691	Yes	
row_17	OAS1	4442	-0.42315247654914856	-0.17278141	Yes	
row_18	ACE	4511	-0.4812311828136444	-0.14773723	Yes	
row_19	GPR35	4540	-0.5093367695808411	-0.11239545	Yes	
row_20	NPFFR1	4735	-0.6842772960662842	-0.096336044	Yes	
row_21	ABCB11	4857	-0.8144855499267578	-0.05513609	Yes	
row_22	SLC6A20	4963	-1.0377095937728882	0.007233315	Yes	
