NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SORBS1	380	1.1939043998718262	0.011774888	No	
row_1	EMP1	449	1.136812448501587	0.08204772	No	
row_2	LIMCH1	891	0.9370248317718506	0.06259356	No	
row_3	SORL1	954	0.9116877317428589	0.117449425	No	
row_4	MAFB	1361	0.7937672138214111	0.09445242	No	
row_5	ANK3	1500	0.7596024870872498	0.12280207	No	
row_6	MEF2C	1567	0.7459098100662231	0.16461304	No	
row_7	DDX6	2387	0.5395950078964233	0.039833114	No	
row_8	TRIM2	2545	0.4925788938999176	0.044646896	No	
row_9	EPB41L3	2659	0.4593716263771057	0.055852905	No	
row_10	PECAM1	3155	0.2757260799407959	-0.023285223	No	
row_11	PCDH9	3281	0.22468355298042297	-0.031820424	No	
row_12	SCN1B	3503	0.13582104444503784	-0.06621364	No	
row_13	SCN2A	3667	0.060204386711120605	-0.09453201	No	
row_14	SLC6A15	3987	-0.10638593137264252	-0.15079717	No	
row_15	ANK2	4045	-0.14137117564678192	-0.15181574	No	
row_16	FZD3	4137	-0.19843369722366333	-0.15545505	No	
row_17	PLCB1	4312	-0.31392142176628113	-0.16725025	Yes	
row_18	CFAP69	4328	-0.32545459270477295	-0.14623407	Yes	
row_19	RELN	4543	-0.5121029615402222	-0.15143593	Yes	
row_20	GRIK2	4571	-0.5358847379684448	-0.11729383	Yes	
row_21	SLC6A1	4613	-0.5720196962356567	-0.08329763	Yes	
row_22	SNAP25	4685	-0.6364916563034058	-0.050571036	Yes	
row_23	PNMA2	4724	-0.6740341186523438	-0.008439168	Yes	
row_24	KIF5C	4890	-0.8601747155189514	0.02190951	Yes	
