NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAI1	227	1.3355578184127808	0.106116325	No	
row_1	TAGLN	796	0.9749266505241394	0.102812864	No	
row_2	MAFB	1361	0.7937672138214111	0.07973679	No	
row_3	KRT16	1823	0.6846703290939331	0.064948335	No	
row_4	MUC16	2168	0.5962459444999695	0.063606106	No	
row_5	VGLL3	2871	0.38251402974128723	-0.033884406	No	
row_6	MUC4	3102	0.298236608505249	-0.04618686	No	
row_7	ARHGAP28	3233	0.24919219315052032	-0.043983378	No	
row_8	CAMK1D	3517	0.1298397332429886	-0.08605239	No	
row_9	AATK	3674	0.054666146636009216	-0.11116254	No	
row_10	CA5B	3760	0.023957448080182076	-0.12550636	No	
row_11	ENPP1	3764	0.023581422865390778	-0.12343033	No	
row_12	NOS1	4009	-0.11858758330345154	-0.15894757	No	
row_13	MLYCD	4077	-0.15849190950393677	-0.15439755	No	
row_14	PLCB1	4312	-0.31392142176628113	-0.16572161	Yes	
row_15	SLC30A4	4468	-0.4451696276664734	-0.14627856	Yes	
row_16	TTC21B	4728	-0.6769899725914001	-0.12138522	Yes	
row_17	RASGRP1	4794	-0.7465919852256775	-0.049638655	Yes	
row_18	C5	4839	-0.7976433634757996	0.032122225	Yes	
