NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HP1BP3	487	1.1142703294754028	-0.030176116	No	
row_1	SERPING1	523	1.0934618711471558	0.029273326	No	
row_2	ELL2	830	0.9629338383674622	0.0262918	No	
row_3	SREBF1	872	0.9438312649726868	0.07543651	No	
row_4	IGFBP4	1493	0.7609058022499084	-0.0029702	No	
row_5	AGPAT3	1683	0.714835524559021	0.002489818	No	
row_6	NPL	1694	0.712797224521637	0.04382027	No	
row_7	SLC24A1	1793	0.6910063028335571	0.066130176	No	
row_8	GMIP	1941	0.6537038683891296	0.07631872	No	
row_9	TINAGL1	2294	0.562664270401001	0.039749034	No	
row_10	SERPINF1	2391	0.5378233790397644	0.053146895	No	
row_11	GNA13	2437	0.5235639810562134	0.0759331	No	
row_12	PPIL2	2601	0.4751966893672943	0.07205022	No	
row_13	PRICKLE3	2685	0.45198917388916016	0.08284309	No	
row_14	HNRNPA0	2720	0.43632742762565613	0.10253686	No	
row_15	SCN9A	2926	0.3637172281742096	0.08342992	No	
row_16	BMPR2	3239	0.24571368098258972	0.035631634	No	
row_17	MTHFR	3243	0.24245409667491913	0.049770687	No	
row_18	FKBP5	3609	0.0829191729426384	-0.018583788	No	
row_19	QTRT1	3956	-0.08148393034934998	-0.0832049	No	
row_20	EYA1	4482	-0.45564141869544983	-0.16106991	Yes	
row_21	EPHA7	4527	-0.5016247630119324	-0.13941662	Yes	
row_22	GPSM2	4605	-0.5686174631118774	-0.120325714	Yes	
row_23	HTN1	4699	-0.6499460935592651	-0.09950702	Yes	
row_24	PTPN11	4744	-0.6894416809082031	-0.066433616	Yes	
row_25	GAD2	4798	-0.7524679899215698	-0.031337693	Yes	
row_26	SSTR2	4986	-1.1768014430999756	0.0026141186	Yes	
