NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ELMOD3	94	1.5323071479797363	0.051771488	Yes	
row_1	KIRREL1	466	1.125291109085083	0.028959574	Yes	
row_2	PLXNA3	494	1.1088011264801025	0.074685685	Yes	
row_3	SLC7A8	675	1.0229029655456543	0.08562614	Yes	
row_4	PER2	1106	0.8627895712852478	0.038815603	Yes	
row_5	CREB3L2	1214	0.8305725455284119	0.055586908	Yes	
row_6	HLA-E	1351	0.797288179397583	0.06498026	Yes	
row_7	ADCY3	1705	0.7094077467918396	0.026603648	Yes	
row_8	OAS3	1742	0.7017579078674316	0.05173383	Yes	
row_9	FBLN1	1911	0.6585094332695007	0.04827686	Yes	
row_10	OAS2	1916	0.6579546332359314	0.07783217	Yes	
row_11	TCHH	1944	0.6524983048439026	0.10250233	Yes	
row_12	SLC20A1	1982	0.6437832117080688	0.12475584	Yes	
row_13	TYMP	2077	0.620630145072937	0.13445827	Yes	
row_14	SLC16A3	2110	0.6134581565856934	0.1563197	Yes	
row_15	GALNT6	2440	0.5227392911911011	0.114164144	No	
row_16	LPAR3	2442	0.5220507979393005	0.13805257	No	
row_17	TSKU	2650	0.4619733691215515	0.11766993	No	
row_18	DDX60	2825	0.4004930257797241	0.10109818	No	
row_19	PASK	2867	0.38416653871536255	0.11056595	No	
row_20	CES2	2986	0.34076064825057983	0.102519095	No	
row_21	GLI2	3321	0.20897001028060913	0.044877503	No	
row_22	C3orf62	3337	0.20265936851501465	0.051207397	No	
row_23	SSBP2	3607	0.08436733484268188	9.1033196E-4	No	
row_24	SGK3	3806	0.003286461578682065	-0.038825203	No	
row_25	SLC2A5	3842	-0.013815529644489288	-0.045238454	No	
row_26	GPR155	3979	-0.10080506652593613	-0.0679841	No	
row_27	NOS1	4009	-0.11858758330345154	-0.06835397	No	
row_28	ADA	4341	-0.34523552656173706	-0.11910328	No	
row_29	GFAP	4408	-0.39686766266822815	-0.11408568	No	
row_30	ARSG	4684	-0.6357209086418152	-0.14014941	No	
row_31	SLC47A1	4781	-0.7293323874473572	-0.12583384	No	
row_32	KLF15	4807	-0.7591090202331543	-0.09584126	No	
row_33	RDH16	4889	-0.8580398559570312	-0.072564766	No	
row_34	ADRA1A	4955	-1.006325602531433	-0.039222475	No	
row_35	SLC6A20	4963	-1.0377095937728882	0.007252154	No	
