NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHD7	443	1.140135645866394	-0.035077885	No	
row_1	CDK6	484	1.1155911684036255	0.00987869	No	
row_2	TNFAIP3	568	1.0709056854248047	0.044047564	No	
row_3	PMEPA1	791	0.978361189365387	0.04581119	No	
row_4	RREB1	843	0.9579588770866394	0.08106021	No	
row_5	NIN	1213	0.8315703868865967	0.04622872	No	
row_6	THNSL2	1327	0.8029691576957703	0.06161972	No	
row_7	EGR2	1659	0.719005286693573	0.029095463	No	
row_8	KRI1	1692	0.7130156755447388	0.05653238	No	
row_9	FOXP1	1772	0.695961058139801	0.07368873	No	
row_10	GMIP	1941	0.6537038683891296	0.070904195	No	
row_11	NUP58	1958	0.6496080756187439	0.09855165	No	
row_12	ERAP2	2143	0.602613091468811	0.09011527	No	
row_13	SPON1	2203	0.587405264377594	0.10614255	No	
row_14	ZBTB10	2384	0.5400992631912231	0.09554129	No	
row_15	LPAR3	2442	0.5220507979393005	0.10886571	No	
row_16	DENND5B	2668	0.457048237323761	0.08525053	No	
row_17	DYM	2780	0.4142230153083801	0.08257013	No	
row_18	MDFI	2931	0.36308911442756653	0.06960155	No	
row_19	USP46	3244	0.24221301078796387	0.018247038	No	
row_20	KIAA0319L	3330	0.2055664211511612	0.010889429	No	
row_21	EYA3	3395	0.17922531068325043	0.006511323	No	
row_22	AATK	3674	0.054666146636009216	-0.046905283	No	
row_23	SLC6A15	3987	-0.10638593137264252	-0.10471471	No	
row_24	SDCCAG8	4078	-0.15870623290538788	-0.115306705	No	
row_25	FCHO1	4117	-0.1865551918745041	-0.11409771	No	
row_26	TOR1AIP2	4264	-0.2853145897388458	-0.1299564	Yes	
row_27	RBM4	4296	-0.30462703108787537	-0.121725835	Yes	
row_28	CFAP69	4328	-0.32545459270477295	-0.11250549	Yes	
row_29	ACE	4511	-0.4812311828136444	-0.12630732	Yes	
row_30	ACKR2	4513	-0.48331597447395325	-0.10354019	Yes	
row_31	PTCH2	4519	-0.4922698736190796	-0.08115352	Yes	
row_32	FAM153A	4630	-0.5907409191131592	-0.07524376	Yes	
row_33	GAD2	4798	-0.7524679899215698	-0.073133245	Yes	
row_34	FAM86C1P	4814	-0.7697499990463257	-0.0395748	Yes	
row_35	OPA3	4848	-0.8031669855117798	-0.008055112	Yes	
row_36	DMD	4849	-0.8054783344268799	0.030223617	Yes	
