NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VIM	99	1.5268430709838867	0.08609616	Yes	
row_1	SETD1A	994	0.8987048864364624	-0.031314302	Yes	
row_2	CDH11	1713	0.7086067795753479	-0.12652491	Yes	
row_3	EMP3	1716	0.7083920836448669	-0.077743985	Yes	
row_4	SERPINE2	1750	0.6999070048332214	-0.035787094	Yes	
row_5	HMGCS1	1814	0.6877971291542053	-7.0477044E-4	Yes	
row_6	HLA-DQB1	1986	0.6428919434547424	0.009538176	Yes	
row_7	ADGRE5	2115	0.6124576926231384	0.026316524	Yes	
row_8	DUOX2	2236	0.5772153735160828	0.042257033	Yes	
row_9	KRT14	2314	0.5573936700820923	0.065469764	Yes	
row_10	NEB	2443	0.5214920043945312	0.07593243	Yes	
row_11	FMNL1	2483	0.5096817016601562	0.103475355	Yes	
row_12	CORO7	2533	0.49591583013534546	0.12805125	Yes	
row_13	CYP4F11	2637	0.46496519446372986	0.13961746	Yes	
row_14	ABCA6	2678	0.4546661674976349	0.16313957	Yes	
row_15	COQ8B	3021	0.32670527696609497	0.1170373	No	
row_16	HLA-DPB1	3342	0.20086722075939178	0.06662295	No	
row_17	PTEN	3373	0.18807470798492432	0.07364706	No	
row_18	CAMK1D	3517	0.1298397332429886	0.053900678	No	
row_19	NOL10	3628	0.07596558332443237	0.037051022	No	
row_20	FARP2	3659	0.06397289037704468	0.035458826	No	
row_21	INPP4B	3929	-0.0636589527130127	-0.014224355	No	
row_22	SGCE	4373	-0.3680381178855896	-0.07777068	No	
row_23	SEMA4D	4425	-0.406962513923645	-0.05977299	No	
row_24	KLRD1	4445	-0.42463362216949463	-0.03411237	No	
row_25	ZNF667	4491	-0.46692076325416565	-0.010745068	No	
row_26	OPRM1	4742	-0.689308762550354	-0.013168411	No	
row_27	ZNF556	4919	-0.93125981092453	0.016090084	No	
