NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JAG1	27	1.8112374544143677	0.09452562	No	
row_1	NREP	742	0.996210515499115	0.005700651	No	
row_2	CELSR2	1409	0.7813418507575989	-0.08531542	No	
row_3	ITGB2	1634	0.7246482968330383	-0.09043729	No	
row_4	DSG3	1660	0.7189468741416931	-0.05579327	No	
row_5	TCF7L1	1906	0.6606498956680298	-0.06867688	No	
row_6	TCHH	1944	0.6524983048439026	-0.040117122	No	
row_7	MYBPC1	2006	0.6390769481658936	-0.017131943	No	
row_8	KALRN	2159	0.5974804162979126	-0.014770809	No	
row_9	LRCH1	2167	0.5966129302978516	0.016746884	No	
row_10	NFASC	2204	0.5873406529426575	0.041911945	No	
row_11	EEF1A2	2286	0.5652298331260681	0.056793243	No	
row_12	ZBTB10	2384	0.5400992631912231	0.06706501	No	
row_13	TONSL	2526	0.49712973833084106	0.06610322	No	
row_14	COL15A1	2841	0.39440402388572693	0.024628002	No	
row_15	NYNRIN	2998	0.33643972873687744	0.011776447	No	
row_16	MX2	3040	0.3205563426017761	0.021210412	No	
row_17	PLCE1	3097	0.2996678650379181	0.026470374	No	
row_18	C2	3309	0.21317602694034576	-0.0042617475	No	
row_19	NR2F1	3486	0.14179973304271698	-0.03188384	No	
row_20	SSBP2	3607	0.08436733484268188	-0.051396724	No	
row_21	MACROH2A2	3653	0.06555098295211792	-0.056842353	No	
row_22	PTPRZ1	3823	-0.007702096831053495	-0.09045554	No	
row_23	LAMC3	3969	-0.09403126686811447	-0.1144703	No	
row_24	IRF9	4013	-0.1200905442237854	-0.11650303	No	
row_25	CHRNB1	4212	-0.24633757770061493	-0.1427866	No	
row_26	PTPRJ	4243	-0.268179714679718	-0.13402785	No	
row_27	MAP3K5	4497	-0.4712865650653839	-0.15897386	Yes	
row_28	HSPA12A	4594	-0.5529353022575378	-0.14779225	Yes	
row_29	SLC6A1	4613	-0.5720196962356567	-0.11984739	Yes	
row_30	PRKN	4638	-0.5985350012779236	-0.09164758	Yes	
row_31	HTN1	4699	-0.6499460935592651	-0.06786111	Yes	
row_32	PSPH	4730	-0.6791110634803772	-0.036422707	Yes	
row_33	C5	4839	-0.7976433634757996	-0.014152382	Yes	
row_34	MYO15A	4872	-0.8366716504096985	0.0255791	Yes	
