NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGF2R	90	1.5420194864273071	0.039782677	Yes	
row_1	CSDE1	124	1.4749411344528198	0.08853309	Yes	
row_2	HSPB1	182	1.3910084962844849	0.12929411	Yes	
row_3	MATR3	185	1.3883711099624634	0.18104032	Yes	
row_4	NONO	291	1.280580759048462	0.20797999	Yes	
row_5	ST13	365	1.2162590026855469	0.23895267	Yes	
row_6	MIA3	388	1.1868098974227905	0.2790973	Yes	
row_7	PSAP	416	1.1652997732162476	0.31742632	Yes	
row_8	SLC25A3	595	1.0570718050003052	0.32125887	Yes	
row_9	THADA	650	1.0319567918777466	0.34913796	Yes	
row_10	ATP5F1A	664	1.0265551805496216	0.385077	Yes	
row_11	KIF2A	739	0.9965385794639587	0.4075951	Yes	
row_12	HSPD1	938	0.9177851676940918	0.4021652	Yes	
row_13	GLUD1	985	0.9018474221229553	0.42676947	Yes	
row_14	PERP	1244	0.8231468200683594	0.4056929	Yes	
row_15	CTSH	1307	0.8081461191177368	0.4235531	Yes	
row_16	HLA-B	1475	0.7650949954986572	0.4186354	Yes	
row_17	TCF25	1482	0.7642613053321838	0.446133	Yes	
row_18	ATP1A1	1785	0.6938490867614746	0.41133243	No	
row_19	PTPN13	1878	0.668938159942627	0.41791782	No	
row_20	ESYT1	1917	0.6574761271476746	0.4349554	No	
row_21	AFG3L2	2561	0.48663684725761414	0.32364935	No	
row_22	PDHA1	2615	0.47191593050956726	0.33069402	No	
row_23	ZFP36L2	2627	0.4681389629840851	0.34606117	No	
row_24	SUN2	2730	0.4334927201271057	0.34178758	No	
row_25	ASAH1	2789	0.4124496877193451	0.34559095	No	
row_26	CTSC	2854	0.38821646571159363	0.3472749	No	
row_27	TRAF3IP2	2994	0.33747410774230957	0.33193803	No	
row_28	ADSL	3252	0.23900490999221802	0.28912178	No	
row_29	UQCRC2	3312	0.2125057876110077	0.28521344	No	
row_30	INPP5D	3384	0.18294675648212433	0.27777645	No	
row_31	TCTN1	3403	0.17601440846920013	0.28076023	No	
row_32	DTX4	3439	0.16272421181201935	0.2798188	No	
row_33	ALDH7A1	3945	-0.07450956851243973	0.180844	No	
row_34	GSS	4017	-0.12218864262104034	0.17112485	No	
row_35	SLCO1A2	4088	-0.16421906650066376	0.16318594	No	
row_36	MPV17	4207	-0.24506355822086334	0.14861014	No	
row_37	MTO1	4266	-0.2875678837299347	0.14772278	No	
