NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASPSCR1	1602	0.7336087822914124	-0.23459744	Yes	
row_1	AGPAT3	1683	0.714835524559021	-0.16603972	Yes	
row_2	NEU1	1886	0.666541337966919	-0.1276765	Yes	
row_3	SRC	1935	0.654691755771637	-0.059816953	Yes	
row_4	FBLN2	1965	0.6488458514213562	0.011162875	Yes	
row_5	DTX2	2507	0.5027328133583069	-0.037880205	Yes	
row_6	TONSL	2526	0.49712973833084106	0.017349316	Yes	
row_7	YIF1B	2713	0.43816715478897095	0.03189207	Yes	
row_8	FBXO44	3530	0.123859703540802	-0.117171615	Yes	
row_9	LAMC3	3969	-0.09403126686811447	-0.19392315	Yes	
row_10	CFAP74	4400	-0.3910342752933502	-0.23391578	Yes	
row_11	COL4A4	4438	-0.4177652597427368	-0.19189216	Yes	
row_12	WTIP	4462	-0.44075796008110046	-0.1443381	Yes	
row_13	GVQW3	4634	-0.5952220559120178	-0.108196445	Yes	
row_14	LINC01667	4753	-0.701988160610199	-0.04878375	Yes	
row_15	ATP8A2	4865	-0.8274721503257751	0.026885929	Yes	
