NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RNF19B	20	1.8494030237197876	0.02336771	Yes	
row_1	NRP1	36	1.7604265213012695	0.04643421	Yes	
row_2	ATXN1	53	1.664854645729065	0.06787863	Yes	
row_3	RNF19A	61	1.6473934650421143	0.09089842	Yes	
row_4	RHOC	132	1.467624545097351	0.0984091	Yes	
row_5	ANKRD40	176	1.3964658975601196	0.110367276	Yes	
row_6	COL6A3	201	1.3635072708129883	0.12570918	Yes	
row_7	SULF2	210	1.3495088815689087	0.14410466	Yes	
row_8	MTSS1	216	1.3435235023498535	0.16302282	Yes	
row_9	ABHD2	290	1.2809791564941406	0.16715226	Yes	
row_10	TRIB1	306	1.2665413618087769	0.18288971	Yes	
row_11	KLF6	314	1.2587093114852905	0.2001416	Yes	
row_12	BCL6	341	1.2367304563522339	0.21319452	Yes	
row_13	RNF149	404	1.17401921749115	0.21797886	Yes	
row_14	PHLDA1	419	1.1635921001434326	0.23239243	Yes	
row_15	GAN	426	1.1573731899261475	0.24834436	Yes	
row_16	EMP1	449	1.136812448501587	0.26072988	Yes	
row_17	PLAU	465	1.125832200050354	0.27437925	Yes	
row_18	CLDN1	548	1.0776561498641968	0.273657	Yes	
row_19	TRIP11	572	1.0700963735580444	0.28484863	Yes	
row_20	ZFP36L1	661	1.0268787145614624	0.28214985	Yes	
row_21	SETBP1	680	1.021619439125061	0.29364127	Yes	
row_22	EGR1	761	0.9875662326812744	0.29198977	Yes	
row_23	GFPT1	798	0.9743971824645996	0.29911146	Yes	
row_24	ABCA1	803	0.9724582433700562	0.312727	Yes	
row_25	RIN2	860	0.9501734375953674	0.31541255	Yes	
row_26	SLC12A6	909	0.9282518029212952	0.3194035	Yes	
row_27	WBP2	912	0.925279438495636	0.33272657	Yes	
row_28	TGIF1	916	0.9244248867034912	0.34583315	Yes	
row_29	JUNB	961	0.9091408848762512	0.3503558	Yes	
row_30	NME7	1119	0.8566984534263611	0.3310672	Yes	
row_31	CDKN1B	1201	0.8344851732254028	0.3269402	Yes	
row_32	CACUL1	1259	0.8200331330299377	0.32749075	Yes	
row_33	CPEB2	1272	0.8161508440971375	0.3371561	Yes	
row_34	BCL3	1275	0.8157188892364502	0.34885335	Yes	
row_35	MIDN	1301	0.8096580505371094	0.35577253	Yes	
row_36	MAFB	1361	0.7937672138214111	0.35552558	Yes	
row_37	NAMPT	1387	0.7867624163627625	0.362105	Yes	
row_38	AFF4	1434	0.7746428847312927	0.3642241	Yes	
row_39	CD9	1447	0.7707138657569885	0.3732152	Yes	
row_40	ZFP36	1545	0.749927282333374	0.36457208	Yes	
row_41	ANKRD12	1550	0.749157726764679	0.37487394	Yes	
row_42	EGR2	1659	0.719005286693573	0.3635298	No	
row_43	SQSTM1	1674	0.716094434261322	0.3713027	No	
row_44	IL6ST	1838	0.6783446669578552	0.3481444	No	
row_45	CDKN1A	1856	0.6723551154136658	0.35465673	No	
row_46	UNK	1913	0.6583530306816101	0.35301182	No	
row_47	LIMK1	1960	0.6495440006256104	0.3532745	No	
row_48	FAM20C	2051	0.627084493637085	0.34423527	No	
row_49	NUAK1	2086	0.6181274056434631	0.34647775	No	
row_50	DOCK4	2136	0.6038016080856323	0.34545013	No	
row_51	ITGB8	2197	0.5888140797615051	0.34195796	No	
row_52	CYBRD1	2222	0.5820778012275696	0.34570378	No	
row_53	RNF121	2228	0.5811184048652649	0.35330817	No	
row_54	SPRED1	2410	0.5306301116943359	0.32428887	No	
row_55	SOS1	2422	0.5276275277137756	0.3298765	No	
row_56	SAMD8	2517	0.5006170868873596	0.31814525	No	
row_57	ARID5B	2582	0.48083171248435974	0.31223533	No	
row_58	FNDC3A	2617	0.47141578793525696	0.31230065	No	
row_59	PPCS	2687	0.45080241560935974	0.30492595	No	
row_60	CREBRF	2724	0.4355352818965912	0.30405116	No	
row_61	WDR19	2803	0.4072563350200653	0.29419577	No	
row_62	CYTH2	2925	0.3639449179172516	0.27493286	No	
row_63	LPAR6	2955	0.35420873761177063	0.27427804	No	
row_64	UNKL	2990	0.33876585960388184	0.2723749	No	
row_65	DNAAF9	3085	0.3052179515361786	0.25774398	No	
row_66	TLR6	3144	0.2804848849773407	0.250084	No	
row_67	ACVR1	3145	0.27971479296684265	0.25423485	No	
row_68	NBEAL1	3215	0.2560788094997406	0.24397054	No	
row_69	APPL2	3365	0.19012141227722168	0.2164209	No	
row_70	ASPH	3441	0.1619826853275299	0.20353724	No	
row_71	CCDC71L	3456	0.15634943544864655	0.20300376	No	
row_72	UPP1	3539	0.12031856179237366	0.188075	No	
row_73	NECAP1	3683	0.05177045240998268	0.15969528	No	
row_74	SYNJ1	3782	0.017021916806697845	0.13997233	No	
row_75	DAAM1	3810	-4.031310381833464E-4	0.13447486	No	
row_76	ZEB2	3859	-0.021021833643317223	0.12500288	No	
row_77	LCOR	3981	-0.10166309773921967	0.10184783	No	
row_78	IRF9	4013	-0.1200905442237854	0.09731113	No	
row_79	STX6	4142	-0.2004685401916504	0.0741955	No	
row_80	SMIM14	4145	-0.201487198472023	0.076777816	No	
row_81	DYNC2LI1	4246	-0.27088120579719543	0.060414374	No	
row_82	HECW2	4329	-0.32790374755859375	0.0485661	No	
row_83	OSTM1	4337	-0.34103938937187195	0.052200153	No	
row_84	USP53	4347	-0.35217320919036865	0.055591766	No	
row_85	SLC38A6	4399	-0.39083340764045715	0.050996132	No	
row_86	AMN1	4401	-0.39116355776786804	0.056597	No	
row_87	MFAP3	4484	-0.46154412627220154	0.046731893	No	
row_88	FAM177A1	4535	-0.5045099258422852	0.044027	No	
row_89	RASGRP3	4564	-0.5248540043830872	0.046108313	No	
row_90	GPR137C	4627	-0.5858820080757141	0.042164966	No	
row_91	TFPI	4629	-0.5884275436401367	0.050693147	No	
row_92	HAVCR2	4703	-0.6536400318145752	0.04551315	No	
row_93	KYNU	4942	-0.9850181341171265	0.011618372	No	
