NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RNF19B	20	1.8494030237197876	0.037941057	Yes	
row_1	IRS1	54	1.6638267040252686	0.06903651	Yes	
row_2	ETS2	72	1.6205017566680908	0.10238781	Yes	
row_3	CSNK1E	197	1.3675267696380615	0.10833103	Yes	
row_4	SMURF1	262	1.297482967376709	0.12483212	Yes	
row_5	NDST1	280	1.2856435775756836	0.15058051	Yes	
row_6	TRIB1	306	1.2665413618087769	0.17427541	Yes	
row_7	PMP22	396	1.1819862127304077	0.18309242	Yes	
row_8	ELK3	495	1.1082342863082886	0.18841265	Yes	
row_9	CCN2	531	1.0881075859069824	0.20603155	Yes	
row_10	RGS12	606	1.0536116361618042	0.21497087	Yes	
row_11	AKAP12	657	1.0283763408660889	0.22819652	Yes	
row_12	ZFP36L1	661	1.0268787145614624	0.25090426	Yes	
row_13	TLE3	709	1.006221055984497	0.26423427	Yes	
row_14	PFKFB3	773	0.9839494824409485	0.27381912	Yes	
row_15	PMEPA1	791	0.978361189365387	0.29259068	Yes	
row_16	TAGLN	796	0.9749266505241394	0.3139164	Yes	
row_17	KLF10	825	0.9637892842292786	0.33012992	Yes	
row_18	ELL2	830	0.9629338383674622	0.35118335	Yes	
row_19	MLXIP	895	0.9363148808479309	0.35948417	Yes	
row_20	SSBP3	921	0.9226523637771606	0.37537113	Yes	
row_21	JUNB	961	0.9091408848762512	0.38811672	Yes	
row_22	RUSC2	1004	0.8962692022323608	0.39996263	Yes	
row_23	NCOR2	1165	0.8449427485466003	0.38675174	Yes	
row_24	COL16A1	1264	0.8185407519340515	0.38549453	Yes	
row_25	SPHK1	1357	0.7953007817268372	0.38492447	Yes	
row_26	MAFB	1361	0.7937672138214111	0.40233943	Yes	
row_27	FAT4	1445	0.7728989720344543	0.403083	Yes	
row_28	KDM6B	1526	0.7540204524993896	0.40400532	Yes	
row_29	SMTN	1611	0.7300509214401245	0.40357354	Yes	
row_30	TNS4	1645	0.7221997976303101	0.4132895	Yes	
row_31	BCOR	1710	0.7088110446929932	0.41642487	Yes	
row_32	POLR1G	1876	0.6694726943969727	0.3982176	Yes	
row_33	LMCD1	1897	0.6637305021286011	0.4092381	Yes	
row_34	PHLDB1	1914	0.6581494212150574	0.42094177	Yes	
row_35	KLF7	1930	0.6556641459465027	0.43279147	Yes	
row_36	MRTFA	1974	0.6462395191192627	0.43875805	Yes	
row_37	JMJD1C	2054	0.6267485022544861	0.43699315	No	
row_38	PPARD	2332	0.5526021718978882	0.39345568	No	
row_39	PPP1R13L	2446	0.5208808183670044	0.3824031	No	
row_40	LEMD3	2729	0.43375924229621887	0.33515495	No	
row_41	DPY19L1	2800	0.40862172842025757	0.33025977	No	
row_42	DLC1	2832	0.3983883261680603	0.33302853	No	
row_43	CHST11	2927	0.3636798858642578	0.32225364	No	
row_44	SKIL	3159	0.2746224105358124	0.2817183	No	
row_45	BMPR2	3239	0.24571368098258972	0.27130207	No	
row_46	TBC1D2B	3266	0.23194152116775513	0.27130404	No	
row_47	FZR1	3278	0.22569678723812103	0.2742013	No	
row_48	RAPGEF2	3286	0.2230851948261261	0.27784914	No	
row_49	ANKLE2	3377	0.1855616420507431	0.26383996	No	
row_50	PLEKHA1	3446	0.15978382527828217	0.25369987	No	
row_51	SLC26A2	3455	0.15686698257923126	0.25564176	No	
row_52	UTP25	3565	0.10661974549293518	0.2359933	No	
row_53	TFEB	3600	0.08821060508489609	0.23111212	No	
row_54	CAPRIN2	3682	0.05228874459862709	0.21589924	No	
row_55	LIPG	3744	0.02899070642888546	0.2042068	No	
row_56	PPP2R2B	3972	-0.09450017660856247	0.16039169	No	
row_57	CD163	4003	-0.11651250720024109	0.15696299	No	
row_58	MED18	4642	-0.6012113094329834	0.04143747	No	
row_59	ABCG1	4714	-0.667443037033081	0.042216297	No	
row_60	KANK1	4723	-0.6732060313224792	0.05588159	No	
