NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
TGFB_UP.V1_UP	TGFB_UP.V1_UP	Details ...	61	0.43875805	1.4793738	0.03181818	1.0	0.64	1974	tags=61%, list=39%, signal=99%	
CAMP_UP.V1_DN	CAMP_UP.V1_DN	Details ...	87	0.44126666	1.4662372	0.023554605	1.0	0.655	1415	tags=48%, list=28%, signal=66%	
BIOCARTA_PPARA_PATHWAY	BIOCARTA_PPARA_PATHWAY	Details ...	19	0.5689184	1.4632584	0.060851928	1.0	0.659	1693	tags=74%, list=34%, signal=111%	
ESC_V6.5_UP_EARLY.V1_DN	ESC_V6.5_UP_EARLY.V1_DN	Details ...	64	0.5036961	1.4460236	0.14049587	1.0	0.668	1815	tags=72%, list=36%, signal=111%	
BIOCARTA_KERATINOCYTE_PATHWAY	BIOCARTA_KERATINOCYTE_PATHWAY	Details ...	16	0.46881634	1.4451727	0.029850746	1.0	0.669	1508	tags=44%, list=30%, signal=62%	
EGFR_UP.V1_UP	EGFR_UP.V1_UP	Details ...	73	0.42271924	1.441665	0.030634573	1.0	0.674	1820	tags=58%, list=36%, signal=89%	
ESC_V6.5_UP_LATE.V1_UP	ESC_V6.5_UP_LATE.V1_UP	Details ...	46	0.46574357	1.430176	0.04366812	1.0	0.689	1702	tags=57%, list=34%, signal=85%	
CSR_LATE_UP.V1_UP	CSR_LATE_UP.V1_UP	Details ...	44	0.4244174	1.4041903	0.09580839	1.0	0.7	2158	tags=64%, list=43%, signal=111%	
STK33_UP	STK33_UP	Details ...	94	0.37487394	1.4018716	0.06828194	1.0	0.7	1550	tags=45%, list=31%, signal=64%	
SIRNA_EIF4GI_UP	SIRNA_EIF4GI_UP	Details ...	38	0.446133	1.4007523	0.057082452	0.9114903	0.702	1482	tags=47%, list=30%, signal=67%	
BCAT_BILD_ET_AL_UP	BCAT_BILD_ET_AL_UP	Details ...	21	0.57249457	1.3923124	0.11336032	0.8794964	0.709	1085	tags=67%, list=22%, signal=85%	
CAMP_UP.V1_UP	CAMP_UP.V1_UP	Details ...	71	0.43644246	1.392225	0.056034483	0.8063746	0.709	1973	tags=59%, list=39%, signal=96%	
BIOCARTA_INTEGRIN_PATHWAY	BIOCARTA_INTEGRIN_PATHWAY	Details ...	22	0.5278543	1.380631	0.10351967	0.80566376	0.718	1632	tags=64%, list=33%, signal=94%	
BIOCARTA_PYK2_PATHWAY	BIOCARTA_PYK2_PATHWAY	Details ...	16	0.5575829	1.3571386	0.061965812	0.87251884	0.732	1597	tags=69%, list=32%, signal=101%	
KRAS.DF.V1_UP	KRAS.DF.V1_UP	Details ...	64	0.37731984	1.3468574	0.12264151	0.8703126	0.744	1800	tags=44%, list=36%, signal=67%	
KRAS.BREAST_UP.V1_UP	KRAS.BREAST_UP.V1_UP	Details ...	18	0.40823758	1.3411582	0.12348668	0.84520143	0.746	955	tags=39%, list=19%, signal=48%	
ATF2_S_UP.V1_DN	ATF2_S_UP.V1_DN	Details ...	60	0.39835322	1.3410968	0.16108787	0.79568404	0.746	2162	tags=60%, list=43%, signal=104%	
BIOCARTA_P38MAPK_PATHWAY	BIOCARTA_P38MAPK_PATHWAY	Details ...	18	0.47186387	1.3375716	0.1778742	0.7679232	0.749	1597	tags=56%, list=32%, signal=81%	
BIOCARTA_IL2RB_PATHWAY	BIOCARTA_IL2RB_PATHWAY	Details ...	18	0.48761684	1.3371892	0.142	0.72920847	0.749	2076	tags=67%, list=42%, signal=114%	
ERBB2_UP.V1_UP	ERBB2_UP.V1_UP	Details ...	62	0.41589415	1.3355691	0.13707866	0.7018406	0.753	1862	tags=56%, list=37%, signal=89%	
STK33_NOMO_UP	STK33_NOMO_UP		90	0.36849508	1.3292536	0.09598214	0.6964283	0.76	2136	tags=54%, list=43%, signal=93%	
PDGF_UP.V1_DN	PDGF_UP.V1_DN		21	0.42704877	1.3285688	0.12412178	0.6669571	0.761	2092	tags=67%, list=42%, signal=114%	
CYCLIN_D1_UP.V1_UP	CYCLIN_D1_UP.V1_UP		62	0.44088128	1.3280843	0.2251407	0.6393358	0.762	2337	tags=74%, list=47%, signal=138%	
PDGF_UP.V1_UP	PDGF_UP.V1_UP		58	0.3539161	1.3147646	0.13319239	0.66508716	0.771	2004	tags=48%, list=40%, signal=80%	
BIOCARTA_MTOR_PATHWAY	BIOCARTA_MTOR_PATHWAY		16	0.46306127	1.3106351	0.174	0.6545195	0.775	2099	tags=63%, list=42%, signal=107%	
BIOCARTA_EIF4_PATHWAY	BIOCARTA_EIF4_PATHWAY		16	0.4821962	1.3033721	0.20235756	0.6531097	0.778	2099	tags=69%, list=42%, signal=118%	
LEF1_UP.V1_UP	LEF1_UP.V1_UP		48	0.4189185	1.3031912	0.22709164	0.6293528	0.778	2055	tags=65%, list=41%, signal=109%	
TBK1.DF_UP	TBK1.DF_UP		92	0.35759482	1.3003813	0.12633833	0.6150332	0.782	2369	tags=61%, list=47%, signal=114%	
ESC_J1_UP_LATE.V1_UP	ESC_J1_UP_LATE.V1_UP		59	0.391507	1.2954361	0.16404495	0.60825235	0.783	1886	tags=56%, list=38%, signal=89%	
CYCLIN_D1_KE_.V1_UP	CYCLIN_D1_KE_.V1_UP		70	0.42591766	1.2952347	0.24390244	0.5882628	0.783	2337	tags=71%, list=47%, signal=132%	
KRAS.DF.V1_DN	KRAS.DF.V1_DN		50	0.33218348	1.2817086	0.09368192	0.61417645	0.794	2049	tags=54%, list=41%, signal=91%	
RB_DN.V1_DN	RB_DN.V1_DN		46	0.44249377	1.2787124	0.20930232	0.60505706	0.798	2004	tags=67%, list=40%, signal=111%	
MEK_UP.V1_UP	MEK_UP.V1_UP		79	0.3793391	1.2689865	0.12445415	0.61550546	0.805	1806	tags=47%, list=36%, signal=72%	
E2F1_UP.V1_DN	E2F1_UP.V1_DN		80	0.3361945	1.2645228	0.14618644	0.6117466	0.809	1910	tags=51%, list=38%, signal=82%	
BIOCARTA_RHO_PATHWAY	BIOCARTA_RHO_PATHWAY		17	0.49732783	1.2623074	0.20125785	0.6003381	0.811	1632	tags=71%, list=33%, signal=104%	
BIOCARTA_RACCYCD_PATHWAY	BIOCARTA_RACCYCD_PATHWAY		15	0.53147566	1.2594739	0.19591837	0.59344566	0.813	2221	tags=87%, list=44%, signal=155%	
NRL_DN.V1_UP	NRL_DN.V1_UP		40	0.3767078	1.2592518	0.21576764	0.5779211	0.813	1793	tags=52%, list=36%, signal=81%	
CRX_DN.V1_DN	CRX_DN.V1_DN		45	0.39912817	1.249937	0.1882353	0.5880267	0.817	1490	tags=47%, list=30%, signal=66%	
