"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Gene"
"HBA1",63.5441637982246,10.3261050374625,3.74167847886555,5.62060538306051e-05,0.000640006242288703,"HBA1"
"SPRR1B",41.7964323275315,10.223253988053,3.16929245414981,8.49706160132973e-09,6.43153554197192e-07,"SPRR1B"
"SF3B4",32.415235012576,9.87715088656081,3.03256951899911,4.01981548375513e-10,5.46192428855229e-08,"SF3B4"
"RPL12",62.7006696338591,9.52152074728851,1.63868237152989,4.38038144885335e-15,7.73739628171833e-12,"RPL12"
"SPRR1A",25.2537623592109,9.33753394921288,3.11490410303682,3.62975937575538e-07,1.24008542884597e-05,"SPRR1A"
"MMP3",22.9175920141061,9.20978425837402,3.06732012262806,2.10696375868195e-07,8.1639800933804e-06,"MMP3"
"SPARC",331.5105515855,8.98040096979694,1.01495652314661,8.20498729478869e-21,1.15944675462659e-16,"SPARC"
"MMP10",29.8730058190058,8.77395903033656,3.80909343368591,0.000953017640128553,0.00576009079241086,"MMP10"
"PIM2",15.5089232872446,8.49399650759436,3.03139818190286,3.71011050265105e-06,7.86020562413224e-05,"PIM2"
"AQP3",146.505463254294,8.47838334164732,1.40797711422995,1.20622299551351e-10,2.37201920103961e-08,"AQP3"
"POM121B",14.8069420453791,8.46461366339436,2.98786852148151,1.6430412019675e-06,4.0721493037976e-05,"POM121B"
"LRIG3",146.09178439749,8.37679464532673,1.5489721431956,2.35946582917338e-10,3.62408822087489e-08,"LRIG3"
"ACTC1",13.6105811733934,8.35105312640962,2.94995670741051,1.21118786732307e-06,3.20880470270642e-05,"ACTC1"
"MXRA5",108.039814001535,8.33473467019749,1.21831353178444,1.68928683950269e-14,2.16252464279316e-11,"MXRA5"
"SLC2A1",199.216563393746,8.28649255983293,1.20982405306702,3.70217128456851e-14,4.02426018632597e-11,"SLC2A1"
"RPL23AP42",12.1652541210552,8.21114336283809,2.88281796674864,4.19326526024986e-07,1.36532330397675e-05,"RPL23AP42"
"SEC24C",37.2085135958645,8.20628539746583,1.62146812014824,6.33679433167483e-11,1.49242067834828e-08,"SEC24C"
"MIF",11.9099984185021,8.14376138939595,2.90978369869144,1.36633245984667e-06,3.52973381902985e-05,"MIF"
"RHBDD2",11.6528909888904,8.13050908237923,2.87910797223476,6.74686822645891e-07,2.01564471264463e-05,"RHBDD2"
